Country,ASN Count
Algeria,11
Angola,55
Benin,13
Botswana,27
Burkina Faso,23
Burundi,9
Cameroon,21
Cape Verde,4
Central African Republic,2
Chad,12
Comoros,2
Congo,14
Congo DR,43
Cote Divoire,22
Djibouti,3
Egypt,74
Equatorial Guinea,6
Eritrea,1
Ethiopia,2
Gabon,14
Gambia,10
Ghana,89
Guinea,13
Guinea-Bissau,2
Kenya,135
Lesotho,9
Liberia,13
Libya,17
Madagascar,9
Malawi,23
Mali,11
Mauritania,5
Mauritius,39
Mayotte,1
Morocco,23
Mozambique,26
Namibia,15
Niger,7
Nigeria,208
Reunion,5
Rwanda,19
Sao Tome and Principe,2
Senegal,13
Seychelles,16
Sierra Leone,15
Somalia,19
South Africa,653
South Sudan,17
Sudan,11
Swaziland,11
Tanzania,84
Togo,7
Tunisia,24
Uganda,45
Zambia,20
Zimbabwe,25
